Data Mov.;Data Valor;Descrição do Movimento;Débito;Crédito;Saldo
02/06/2026;02/06/2026;TPA VENDAS DIA 01/06;;385,50;4.385,50
03/06/2026;03/06/2026;TRF P/ DISTRIBUIDORA SILVA;1.230,00;;3.155,50
05/06/2026;05/06/2026;RENDA LOJA JUNHO;750,00;;2.405,50
09/06/2026;09/06/2026;GALP AVEIRO;48,20;;2.357,30
10/06/2026;10/06/2026;EDP COMERCIAL;96,40;;2.260,90
10/06/2026;10/06/2026;TPA VENDAS DIA 09/06;;512,80;2.773,70
12/06/2026;12/06/2026;SEGURANCA SOCIAL TSU;712,50;;2.061,20
15/06/2026;15/06/2026;MEO EMPRESAS;39,90;;2.021,30
20/06/2026;20/06/2026;AT - IVA PAGAMENTO;845,00;;1.176,30
25/06/2026;25/06/2026;ORDENADO MARIA SANTOS;980,00;;196,30
26/06/2026;26/06/2026;TPA VENDAS DIA 25/06;;640,10;836,40
